"","Accession.Number","Bimp","GeneID","Locus","Protein.Name"
"281","XP_003484945.1","BIMP19762",100747271,"LOC100747271","origin recognition complex subunit 4"
"282","XP_003484946.1","BIMP19683",100747390,"LOC100747390","E3 ubiquitin-protein ligase RNF113A"
"283","XP_003484947.1","BIMP19764",100747511,"LOC100747511","uncharacterized oxidoreductase YjmC"
"284","XP_003484948.1","BIMP19680",100747627,"LOC100747627","60S ribosomal protein L22"
"285","XP_003484950.1","BIMP19681",100747870,"LOC100747870","gamma-aminobutyric acid receptor-associated protein"
"286","XP_003484952.1","BIMP19678",100748194,"LOC100748194","carotenoid isomerooxygenase isoform X1"
"287","XP_003484953.1","BIMP19677",100748317,"LOC100748317","uncharacterized protein LOC100748317"
"288","XP_003484954.1","BIMP19676",100748437,"LOC100748437","proteasome subunit beta type-3"
"289","XP_003484955.1","BIMP19767",100748556,"LOC100748556","cullin-2 isoform X1"
"290","XP_003484956.1","BIMP19675",100748675,"LOC100748675","homeobox protein ARX-like"
"291","XP_003484959.1","BIMP19769",100749030,"LOC100749030","proclotting enzyme"
"292","XP_003484961.1","BIMP19670",100749273,"LOC100749273","glycylpeptide N-tetradecanoyltransferase 1"
"293","XP_003484962.1","BIMP19669",100749387,"LOC100749387","uncharacterized protein LOC100749387 isoform X2"
"294","XP_003484963.1","BIMP19773",100749506,"LOC100749506","uncharacterized protein LOC100749506 isoform X1"
"295","XP_003484963.1","BIMP19772",100749506,"LOC100749506","uncharacterized protein LOC100749506 isoform X1"
"296","XP_003484964.1","BIMP19667",100749624,"LOC100749624","alkaline phosphatase"
"297","XP_003484966.1","BIMP19665",100749864,"LOC100749864","translation initiation factor IF-2"
"298","XP_003484967.1","BIMP19775",100749982,"LOC100749982","uncharacterized protein LOC100749982"
"299","XP_003484968.1","BIMP19775",100749982,"LOC100749982","uncharacterized protein LOC100749982"
"300","XP_003484969.1","BIMP19736",100750179,"LOC100750179","dymeclin"
"301","XP_003484970.1","BIMP19777",100740079,"LOC100740079","uncharacterized protein LOC100740079"
"302","XP_003484976.1","BIMP19714",100740809,"LOC100740809","DNA primase small subunit"
"303","XP_003484984.1","BIMP19727",100741769,"LOC100741769","enhancer of split mgamma protein-like"
"304","XP_003484989.1","BIMP19758",100742331,"LOC100742331","probable chitinase 2 isoform X1"
"305","XP_003484991.2","BIMP19682",100742578,"LOC100742578","putative ammonium transporter 3"
"306","XP_003484993.1","BIMP19720",100742813,"LOC100742813","calsyntenin-1"
"307","XP_003484994.1","BIMP19766",100742930,"LOC100742930","facilitated trehalose transporter Tret1 isoform X2"
"308","XP_003484997.1","BIMP19718",100743290,"LOC100743290","high mobility group protein 20A"
"309","XP_003484998.1","BIMP19741",100743410,"LOC100743410","serine/threonine-protein kinase atr isoform X1"
"310","XP_003484999.1","BIMP19716",100743529,"LOC100743529","actin-like protein 6B"
"311","XP_003485003.1","BIMP19715",100743962,"LOC100743962","uncharacterized protein LOC100743962"
"312","XP_003485004.1","BIMP19726",100744079,"LOC100744079","tubulin polyglutamylase TTLL4-like"
"313","XP_003485005.1","BIMP19713",100744193,"LOC100744193","uncharacterized protein LOC100744193"
"314","XP_003485006.1","BIMP19744",100744310,"LOC100744310","mediator of RNA polymerase II transcription subunit 24 isoform X1"
"315","XP_003485010.1","BIMP19746",100744754,"LOC100744754","QRFP-like peptide receptor isoform X5"
"316","XP_003485011.1","BIMP19711",100744873,"LOC100744873","protein LSM12 homolog"
"317","XP_003485012.1","BIMP19725",100744994,"LOC100744994","tubulin polyglutamylase TTLL4-like"
"318","XP_003485013.1","BIMP19705",100745116,"LOC100745116","gastrulation defective protein 1 homolog"
"319","XP_003485017.1","BIMP19751",100745642,"LOC100745642","guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1"
"320","XP_003485018.1","BIMP19724",100745960,"LOC100745960","enhancer of split mbeta protein-like"
"321","XP_003485019.1","BIMP19752",100746080,"LOC100746080","cytochrome P450 307a1-like"
"322","XP_003485020.1","BIMP19699",100746201,"LOC100746201","facilitated trehalose transporter Tret1-2 homolog isoform X1"
"323","XP_003485021.1","BIMP19753",100746322,"LOC100746322","DNA-directed RNA polymerases I, II, and III subunit RPABC2"
"324","XP_003485022.1","BIMP19754",100746436,"LOC100746436","bridging integrator 3-like"
"325","XP_003485023.1","BIMP19696",100746558,"LOC100746558","vacuolar protein sorting-associated protein 11 homolog"
"326","XP_003485026.1","BIMP24164",100746913,"LOC100746913","D-glucuronyl C5-epimerase B"
"327","XP_003485027.1","BIMP24197",100747118,"LOC100747118","calcium channel flower isoform X2"
"328","XP_003485028.1","BIMP24197",100747118,"LOC100747118","calcium channel flower isoform X1"
"329","XP_003485030.1","BIMP24124",100747429,"LOC100747429","E3 ubiquitin-protein ligase MARCH3-like"
"330","XP_003485031.1","BIMP24199",100747546,"LOC100747546","general transcription factor 3C polypeptide 5"
"331","XP_003485032.1","BIMP24123",100747668,"LOC100747668","uncharacterized protein LOC100747668"
"332","XP_003485033.1","BIMP24122",100747791,"LOC100747791","signal transducing adapter molecule 1"
"333","XP_003485035.1","BIMP24121",100748032,"LOC100748032","vacuolar protein sorting-associated protein 52 homolog"
"334","XP_003485036.1","BIMP24165",100748151,"LOC100748151","zinc finger CCHC-type and RNA-binding motif-containing protein 1"
"335","XP_003485041.1","BIMP24166",100748749,"LOC100748749","U6 snRNA phosphodiesterase isoform X1"
"336","XP_003485043.1","BIMP24148",100748987,"LOC100748987","tRNA dimethylallyltransferase isoform X1"
"337","XP_003485046.2","BIMP24178",100749341,"LOC100749341","methyltransferase-like protein 9 isoform X3"
"338","XP_003485049.1","BIMP24157",100749823,"LOC100749823","sorting nexin-8-like isoform X2"
"339","XP_003485050.1","BIMP24191",100749941,"LOC100749941","queuine tRNA-ribosyltransferase catalytic subunit"
"340","XP_003485053.1","BIMP24120",100740080,"LOC100740080","protein rhomboid isoform X1"
"341","XP_003485056.1","BIMP24155",100740447,"LOC100740447","WD repeat domain phosphoinositide-interacting protein 3 isoform X1"
"342","XP_003485058.1","BIMP24171",100740689,"LOC100740689","uncharacterized protein LOC100740689"
"343","XP_003485059.1","BIMP24172",100740810,"LOC100740810","E3 ubiquitin-protein ligase SMURF1 isoform X1"
"344","XP_003485060.1","BIMP24173",100740929,"LOC100740929","THO complex subunit 1 isoform X2"
"345","XP_003485061.1","BIMP24174",100741050,"LOC100741050","protein FAM49B"
"346","XP_003485066.2","BIMP24179",100741726,"LOC100741726","Golgi to ER traffic protein 4 homolog"
"347","XP_003485068.1","BIMP24137",100741963,"LOC100741963","inositol polyphosphate 5-phosphatase E isoform X4"
"348","XP_003485069.1","BIMP24137",100741963,"LOC100741963","inositol polyphosphate 5-phosphatase E isoform X3"
"349","XP_003485070.1","BIMP24181",100742167,"LOC100742167","uncharacterized protein LOC100742167 isoform X1"
"350","XP_003485071.1","BIMP24159",100742286,"LOC100742286","neuronal PAS domain-containing protein 4 isoform X1"
"351","XP_003485073.1","BIMP24134",100742534,"LOC100742534","chitobiosyldiphosphodolichol beta-mannosyltransferase isoform X1"
"352","XP_003485076.1","BIMP24133",100742886,"LOC100742886","eukaryotic translation initiation factor 3 subunit L"
"353","XP_003485077.1","BIMP24187",100743003,"LOC100743003","developmentally-regulated GTP-binding protein 2"
"354","XP_003485078.1","BIMP24188",100743125,"LOC100743125","ras-related protein Rab-40C"
"355","XP_003485079.1","BIMP24132",100743244,"LOC100743244","glucose-induced degradation protein 4 homolog"
"356","XP_003485080.1","BIMP24190",100743366,"LOC100743366","BTB/POZ domain-containing protein KCTD5 isoform X2"
"357","XP_003485082.1","BIMP24131",100743610,"LOC100743610","ragulator complex protein LAMTOR2"
"358","XP_003485083.1","BIMP24130",100743727,"LOC100743727","coiled-coil domain-containing protein 25"
"359","XP_003485084.2","BIMP24129",100743845,"LOC100743845","ubiquitin-associated domain-containing protein 1 isoform X2"
"360","XP_003485086.1","BIMP24193",100744080,"LOC100744080","ATP-dependent zinc metalloprotease YME1L isoform X1"
"361","XP_003485087.1","BIMP24128",100744194,"LOC100744194","DNA-binding protein RFX7"
"362","XP_003485089.1","BIMP24194",100744311,"LOC100744311","presequence protease, mitochondrial isoform X1"
"363","XP_003485090.1","BIMP22425",100744517,"LOC100744517","ATP-dependent DNA helicase PIF1"
"364","XP_003485091.1","BIMP22426",100744638,"LOC100744638","U1 small nuclear ribonucleoprotein C"
"365","XP_003485096.1","BIMP11166",100745324,"LOC100745324","probable leucine--tRNA ligase, mitochondrial"
"366","XP_003485099.1","BIMP11104",100745685,"LOC100745685","gamma-glutamylcyclotransferase"
"367","XP_003485101.1","BIMP11102",100745882,"LOC100745882","homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein"
"368","XP_003485102.1","BIMP11167",100746000,"LOC100746000","homeobox protein 4-like"
"369","XP_003485104.1","BIMP11169",100746243,"LOC100746243","adenine phosphoribosyltransferase"
"370","XP_003485105.1","BIMP11100",100746365,"LOC100746365","TBC1 domain family member 31 isoform X2"
"371","XP_003485109.1","BIMP11171",100746801,"LOC100746801","protein KTI12 homolog"
"372","XP_003485110.1","BIMP11099",100746914,"LOC100746914","carnosine N-methyltransferase isoform X1"
"373","XP_003485111.1","BIMP11172",100747035,"LOC100747035","phosphatidylinositol 5-phosphate 4-kinase type-2 alpha isoform X2"
"374","XP_003485112.1","BIMP11097",100747152,"LOC100747152","CDGSH iron-sulfur domain-containing protein 3, mitochondrial"
"375","XP_003485114.1","BIMP11174",100747391,"LOC100747391","28 kDa heat- and acid-stable phosphoprotein"
"376","XP_003485115.1","BIMP11175",100747547,"LOC100747547","lysophospholipid acyltransferase 7"
"377","XP_003485116.1","BIMP11093",100747669,"LOC100747669","serine/arginine-rich splicing factor 2"
"378","XP_003485118.1","BIMP11092",100747914,"LOC100747914","transcription factor stalky isoform X1"
"379","XP_003485123.1","BIMP11090",100748511,"LOC100748511","uncharacterized protein LOC100748511"
"380","XP_003485124.1","BIMP11179",100748629,"LOC100748629","ubiquitin carboxyl-terminal hydrolase 22"
"381","XP_003485125.2","BIMP11180",100748750,"LOC100748750","hexosaminidase D isoform X1"
"382","XP_003485126.1","BIMP11182",100748869,"LOC100748869","intraflagellar transport protein 140 homolog isoform X2"
"383","XP_003485129.1","BIMP11088",100749191,"LOC100749191","nuclear autoantigenic sperm protein isoform X2"
"384","XP_003485133.1","BIMP11085",100749625,"LOC100749625","uncharacterized protein LOC100749625 isoform X2"
"385","XP_003485140.1","BIMP11080",100740203,"LOC100740203","BLOC-1-related complex subunit 5"
"386","XP_003485146.1","BIMP11077",100740885,"LOC100740885","cytosolic Fe-S cluster assembly factor NUBP2 homolog"
"387","XP_003485148.2","BIMP11076",100741085,"LOC100741085","prominin-like protein isoform X6"
"388","XP_003485152.1","BIMP11072",100741608,"LOC100741608","tRNA (cytosine(38)-C(5))-methyltransferase"
"389","XP_003485153.1","BIMP11192",100741727,"LOC100741727","transcription factor MafG"
"390","XP_003485154.1","BIMP11193",100741845,"LOC100741845","protein CLEC16A homolog isoform X2"
"391","XP_003485155.1","BIMP11071",100741964,"LOC100741964","hepatocyte growth factor-regulated tyrosine kinase substrate isoform X1"
"392","XP_003485156.1","BIMP11145",100742206,"LOC100742206","histone H3.3A"
"393","XP_003485158.2","BIMP11120",100742410,"LOC100742410","prostatic acid phosphatase"
"394","XP_003485162.1","BIMP11133",100743004,"LOC100743004","sodium-dependent nutrient amino acid transporter 1-like"
"395","XP_003485166.1","BIMP11165",100743579,"LOC100743579","dual specificity protein phosphatase 3 isoform X1"
"396","XP_003485167.1","BIMP11106",100743694,"LOC100743694","kinesin-like protein KIF23 isoform X1"
"397","XP_003485168.1","BIMP11103",100743815,"LOC100743815","atypical kinase COQ8B, mitochondrial isoform X1"
"398","XP_003485169.1","BIMP11101",100743926,"LOC100743926","IQ and AAA domain-containing protein 1-like isoform X1"
"399","XP_003485170.1","BIMP11098",100744044,"LOC100744044","kinesin-like protein KIF23"
"400","XP_003485171.1","BIMP11173",100744160,"LOC100744160","uncharacterized protein LOC100744160"
"401","XP_003485172.1","BIMP11129",100744278,"LOC100744278","BAG domain-containing protein Samui isoform X1"
"402","XP_003485172.1","BIMP11130",100744278,"LOC100744278","BAG domain-containing protein Samui isoform X1"
"403","XP_003485179.1","BIMP11146",100745117,"LOC100745117","abscission/NoCut checkpoint regulator"
"404","XP_003485181.1","BIMP11148",100745356,"LOC100745356","solute carrier family 35 member F6"
"405","XP_003485182.1","BIMP11127",100745478,"LOC100745478","ATP-citrate synthase"
"406","XP_003485183.1","BIMP11126",100745596,"LOC100745596","serine/threonine-protein kinase 16 isoform X1"
"407","XP_003485185.2","BIMP11125",100745807,"LOC100745807","ATP-binding cassette sub-family B member 6, mitochondrial"
"408","XP_003485186.1","BIMP11150",100745927,"LOC100745927","testis-expressed protein 10 isoform X2"
"409","XP_003485188.1","BIMP11132",100746168,"LOC100746168","sodium-dependent nutrient amino acid transporter 1-like isoform X1"
"410","XP_003485191.1","BIMP11151",100746481,"LOC100746481","arginine-glutamic acid dipeptide repeats protein isoform X1"
"411","XP_003485193.1","BIMP11122",100746681,"LOC100746681","protein dj-1beta"
"412","XP_003485194.1","BIMP11153",100746802,"LOC100746802","GATA zinc finger domain-containing protein 14-like isoform X1"
"413","XP_003485198.1","BIMP11154",100747233,"LOC100747233","protein Malvolio isoform X3"
"414","XP_003485199.1","BIMP11119",100747353,"LOC100747353","acyl-CoA-binding domain-containing protein 5 isoform X1"
"415","XP_003485200.1","BIMP11136",100747474,"LOC100747474","intraflagellar transport protein 46 homolog"
"416","XP_003485206.1","BIMP11112",100748195,"LOC100748195","uncharacterized protein LOC100748195"
"417","XP_003485208.1","BIMP11162",100748438,"LOC100748438","biogenesis of lysosome-related organelles complex 1 subunit 6"
"418","XP_003485209.1","BIMP11110",100748557,"LOC100748557","liprin-alpha-1 isoform X8"
"419","XP_003485212.1","BIMP11107",100748950,"LOC100748950","charged multivesicular body protein 4b"
"420","XP_003485214.1","BIMP17121",100749192,"LOC100749192","uncharacterized protein LOC100749192"
"421","XP_003485218.1","BIMP17119",100749704,"LOC100749704","uncharacterized protein LOC100749704"
"422","XP_003485225.1","BIMP17123",100740324,"LOC100740324","lachesin-like isoform X3"
"423","XP_003485227.2","BIMP17126",100740570,"LOC100740570","chromatin assembly factor 1 subunit A-B"
"424","XP_003485227.2","BIMP17127",100740570,"LOC100740570","chromatin assembly factor 1 subunit A-B"
"425","XP_003485235.1","BIMP25509",100741530,"LOC100741530","transmembrane protein 39A isoform X1"
"426","XP_003485236.1","BIMP25489",100741651,"LOC100741651","membrane-bound transcription factor site-2 protease"
"427","XP_003485240.1","BIMP25526",100742367,"LOC100742367","GPN-loop GTPase 2 isoform X2"
"428","XP_003485241.1","BIMP25508",100742493,"LOC100742493","8-oxo-dGDP phosphatase NUDT18"
"429","XP_003485242.1","BIMP25488",100742734,"LOC100742734","zinc finger protein 782"
"430","XP_003485243.1","BIMP25486",100742851,"LOC100742851","chymotrypsin-1"
"431","XP_003485246.1","BIMP25504",100743209,"LOC100743209","charged multivesicular body protein 6"
"432","XP_003485250.1","BIMP25481",100743530,"LOC100743530","L-galactose dehydrogenase isoform X1"
"433","XP_003485251.1","BIMP25514",100743728,"LOC100743728","N-acetyltransferase family 8 member 3"
"434","XP_003485252.1","BIMP25478",100743846,"LOC100743846","RNA-binding protein 25 isoform X1"
"435","XP_003485255.1","BIMP25518",100744161,"LOC100744161","ephrin type-A receptor 3-like"
"436","XP_003485257.1","BIMP25505",100744397,"LOC100744397","uncharacterized protein LOC100744397 isoform X2"
"437","XP_003485258.1","BIMP25505",100744397,"LOC100744397","uncharacterized protein LOC100744397 isoform X4"
"438","XP_003485261.1","BIMP25523",100744836,"LOC100744836","DNA-binding protein RFXANK"
"439","XP_003485262.1","BIMP25476",100744956,"LOC100744956","coatomer subunit delta"
"440","XP_003485264.1","BIMP25474",100745357,"LOC100745357","PAX3- and PAX7-binding protein 1"
"441","XP_003485265.1","BIMP25473",100745479,"LOC100745479","trafficking protein particle complex subunit 13 isoform X2"
"442","XP_003485268.1","BIMP25530",100745841,"LOC100745841","39S ribosomal protein L13, mitochondrial"
"443","XP_003485269.1","BIMP25472",100745961,"LOC100745961","39S ribosomal protein L52, mitochondrial"
"444","XP_003485271.1","BIMP25471",100746202,"LOC100746202","sphingosine kinase 2 isoform X1"
"445","XP_003485274.1","BIMP25533",100746524,"LOC100746524","uncharacterized protein LOC100746524 isoform X1"
